Link,Dead_ Link_Count
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Satakunta,1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Template:Edit_template-protected,1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Template:Importance_mask/doc,1
https://en.wikipedia.org/wiki/Stylotermitidae,1
https://en.wikipedia.org/wiki/Tanzania,2
https://en.wikipedia.org/wiki/Template:Culture_of_India,1
https://en.wikipedia.org/wiki/Template:Navboxes_colour,1
https://en.wikipedia.org/wiki/UNAM,1
https://en.wikipedia.org/wiki/United_States_Securities_and_Exchange_Commission,1
https://en.wikipedia.org/wiki/Viswanathan_Anand,1
https://en.wikipedia.org/wiki/Wikipedia,3
https://en.wikipedia.org/wiki/Wikipedia:CFD,13
https://en.wikipedia.org/wiki/Champaign%E2%80%93Urbana_metropolitan_area,1
https://en.wikipedia.org/wiki/Chicago_Tribune,1
"https://en.wikipedia.org/wiki/Pulaski_County,_Illinois",1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Template:1890_Louisville_Colonels,1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Template:Succession_links,1
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template_talk:Editnotices/Page/Soviet_famine_of_1946%E2%80%9347,4
https://en.wikipedia.org/wiki/101_Air_Supply_Unit_SAOSC,2
https://en.wikipedia.org/wiki/1948_Palestinian_exodus,2
https://en.wikipedia.org/wiki/1973_European_Formula_Two_Championship,2
https://en.wikipedia.org/wiki/1977_24_Hours_of_Le_Mans,1
https://en.wikipedia.org/wiki/1981-82_Football_League,2
https://en.wikipedia.org/wiki/1997%E2%80%9398_FA_Cup,5
https://en.wikipedia.org/wiki/Abu_Hurairah,1
https://en.wikipedia.org/wiki/Andrea_Nahles,25
https://en.wikipedia.org/wiki/Arsenal_F.C._league_record_by_opponent,4
https://en.wikipedia.org/wiki/Arsenal_TV,1
https://en.wikipedia.org/wiki/Bolton_Wanderers,3
https://en.wikipedia.org/wiki/Botho_Prinz_zu_Sayn-Wittgenstein-Hohenstein,2
https://en.wikipedia.org/wiki/Bournemouth,1
https://en.wikipedia.org/wiki/Case_Gym,1
https://en.wikipedia.org/wiki/Category:Members_of_the_Bundestag_for_CDU,1
https://en.wikipedia.org/wiki/Chris_Hoy,3
https://en.wikipedia.org/wiki/Cinema_of_Austria,2
https://en.wikipedia.org/wiki/Cinema_of_Slovakia,2
https://en.wikipedia.org/wiki/Cyril_Suk,1
https://en.wikipedia.org/wiki/Escort_Group,1
https://en.wikipedia.org/wiki/Flora_of_Australia,3
https://en.wikipedia.org/wiki/Gens_Claudia,4
"https://en.wikipedia.org/wiki/Girard,_Illinois",1
https://en.wikipedia.org/wiki/HMS_Veronica_(K37),1
https://en.wikipedia.org/wiki/Interstate_90_in_Washington,1
https://en.wikipedia.org/wiki/Johan_Anderson,1
https://en.wikipedia.org/wiki/Kevin_Nugent_(footballer),1
https://en.wikipedia.org/wiki/List_of_lakes_of_Moldova,2
https://en.wikipedia.org/wiki/List_of_newspapers_in_Louisiana,1
https://en.wikipedia.org/wiki/List_of_squadrons_and_flotillas_of_the_Royal_Navy,2
https://en.wikipedia.org/wiki/Louisiana_Purchase_Exposition_dollar,1
https://en.wikipedia.org/wiki/Loving_(2016_film),1
https://en.wikipedia.org/wiki/Marine_microorganisms,1
https://en.wikipedia.org/wiki/Markus_Berger_(politician),11
https://en.wikipedia.org/wiki/Marriott_Hotel,1
https://en.wikipedia.org/wiki/Microfoundations,2
https://en.wikipedia.org/wiki/Nessma_TV,2
https://en.wikipedia.org/wiki/Pau_Grand_Prix,1
https://en.wikipedia.org/wiki/Railroad_classes,1
https://en.wikipedia.org/wiki/Redevelopment_of_Birmingham,1
https://en.wikipedia.org/wiki/Renate_Schmidt,5
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Jacques_Camatte,1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Module:Progress_box/config,1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Talk:Palace_of_Fontainebleau,1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Template:Countries_of_Africa/doc,1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Template:NRISref,1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Template:Royal_Bank_of_Scotland_Group,1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Template_talk:Archives/archivelist,1
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Edwin_R._A._Seligman,1
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Talk:Editnotices/Page/Template_talk:Editnotices/Group/Template_talk:Editnotices_page_template_talk:editnotices_page_perry_meeting,3
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template_talk:Country_data_Indiana,1
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template_talk:Editnotices/Group/Template_talk:Editnotices_page_template_talk:editnotices_page_perry_meeting,3
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template_talk:Editnotices/Page/Perry_Mehrling,3
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template_talk:Editnotices/Page/Peter_Valentine,1
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template_talk:Editnotices/Page/Template_talk:Editnotices/Group/Template_talk:Editnotices_page_template_talk:editnotices_page_perry_meeting,3
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template_talk:Editnotices/Page/Template_talk:Editnotices_page_template_talk:editnotices_page_perry_meeting,1
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template_talk:Editnotices_page_template_talk:editnotices_page_perry_meeting,3
https://en.wikipedia.org/wiki/Sun_Tran,1
https://en.wikipedia.org/wiki/Taihoku_Imperial_University,2
https://en.wikipedia.org/wiki/Template:Editnotices/Page/Template_talk:Editnotices/Group/Template_talk:Editnotices_page_template_talk:editnotices_page_perry_meeting,1
https://en.wikipedia.org/wiki/Template:S-ttl,2
https://en.wikipedia.org/wiki/Template_talk:Archives/archivelist,1
https://en.wikipedia.org/wiki/Thomas_Jefferson_250th_Anniversary_silver_dollar,1
https://en.wikipedia.org/wiki/Timeline_of_the_name_%22Palestine%22,1
https://en.wikipedia.org/wiki/U-1-class_submarine_(Austria-Hungary),1
https://en.wikipedia.org/wiki/User:Bigstory1,1
https://en.wikipedia.org/wiki/User:Whpq/CSD_log_-_April_2014_to_October_2016,13
https://en.wikipedia.org/wiki/User_talk:220.101.28.25/Archive_1,1
https://en.wikipedia.org/wiki/User_talk:ButchMG,1
https://en.wikipedia.org/wiki/User_talk:Helppublic,1
https://en.wikipedia.org/wiki/User_talk:Stemonitis,1
https://en.wikipedia.org/wiki/User_talk:Stemonitis/Archive42,1
https://en.wikipedia.org/wiki/WBUR,1
https://en.wikipedia.org/wiki/Wellingborough_Town_F.C.,1
